city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,3
sj,2008,20,7
sj,2008,21,8
sj,2008,22,10
sj,2008,23,11
sj,2008,24,13
sj,2008,25,10
sj,2008,26,17
sj,2008,27,13
sj,2008,28,28
sj,2008,29,21
sj,2008,30,21
sj,2008,31,41
sj,2008,32,52
sj,2008,33,40
sj,2008,34,33
sj,2008,35,27
sj,2008,36,66
sj,2008,37,46
sj,2008,38,32
sj,2008,39,26
sj,2008,40,47
sj,2008,41,36
sj,2008,42,28
sj,2008,43,27
sj,2008,44,23
sj,2008,45,26
sj,2008,46,24
sj,2008,47,28
sj,2008,48,25
sj,2008,49,18
sj,2008,50,15
sj,2008,51,20
sj,2008,52,10
sj,2009,1,16
sj,2009,2,14
sj,2009,3,13
sj,2009,4,14
sj,2009,5,15
sj,2009,6,12
sj,2009,7,13
sj,2009,8,11
sj,2009,9,9
sj,2009,10,12
sj,2009,11,1
sj,2009,12,6
sj,2009,13,7
sj,2009,14,3
sj,2009,15,5
sj,2009,16,5
sj,2009,17,3
sj,2009,18,4
sj,2009,19,6
sj,2009,20,3
sj,2009,21,2
sj,2009,22,9
sj,2009,23,9
sj,2009,24,6
sj,2009,25,10
sj,2009,26,13
sj,2009,27,32
sj,2009,28,24
sj,2009,29,33
sj,2009,30,31
sj,2009,31,41
sj,2009,32,47
sj,2009,33,25
sj,2009,34,54
sj,2009,35,33
sj,2009,36,45
sj,2009,37,34
sj,2009,38,23
sj,2009,39,37
sj,2009,40,59
sj,2009,41,59
sj,2009,42,58
sj,2009,43,34
sj,2009,44,43
sj,2009,45,12
sj,2009,46,14
sj,2009,47,26
sj,2009,48,25
sj,2009,49,23
sj,2009,50,26
sj,2009,51,23
sj,2009,52,18
sj,2010,53,2
sj,2010,1,18
sj,2010,2,16
sj,2010,3,17
sj,2010,4,17
sj,2010,5,13
sj,2010,6,12
sj,2010,7,13
sj,2010,8,14
sj,2010,9,11
sj,2010,10,11
sj,2010,11,7
sj,2010,12,7
sj,2010,13,11
sj,2010,14,8
sj,2010,15,4
sj,2010,16,6
sj,2010,17,6
sj,2010,18,7
sj,2010,19,27
sj,2010,20,9
sj,2010,21,9
sj,2010,22,35
sj,2010,23,59
sj,2010,24,37
sj,2010,25,14
sj,2010,26,21
sj,2010,27,55
sj,2010,28,47
sj,2010,29,23
sj,2010,30,19
sj,2010,31,40
sj,2010,32,77
sj,2010,33,52
sj,2010,34,44
sj,2010,35,118
sj,2010,36,80
sj,2010,37,69
sj,2010,38,37
sj,2010,39,32
sj,2010,40,52
sj,2010,41,44
